datetime,dataset,layer,classifier,feat,seg,step,padding,train_avg,test_avg,train_std,test_std
2021-08-20-15:01:36,esc10,conv4,mlp,mean,5.0,0.25,8.0,1.0,0.8300000000000001,0.0,0.044440972086577935
2021-08-20-14:53:57,esc10,conv5,mlp,mean,5.0,0.25,8.0,1.0,0.8300000000000001,0.0,0.049749371855330966
2021-08-20-14:54:25,esc10,conv4,mlp,mean,5.0,2.0,6.0,1.0,0.8300000000000001,0.0,0.036742346141747685
2021-08-20-14:55:12,esc10,conv4,mlp,mean,5.0,2.0,8.0,1.0,0.8300000000000001,0.0,0.046502688094345684
2021-08-20-15:20:21,esc10,conv5,mlp,mean,4.0,0.1,6.0,0.9946022727272726,0.8297727272727272,0.003924158329507284,0.0453373489146815
2021-08-20-15:04:02,esc10,conv5,mlp,mean,4.0,0.5,6.0,0.9916666666666666,0.8291666666666668,0.011655500608916129,0.0350594732799377
2021-08-20-12:31:40,esc10,conv6,mlp,mean,4.0,1.0,8.0,0.9975,0.82875,0.002724311839712916,0.03297726489568231
2021-08-20-12:29:41,esc10,conv6,mlp,mean,4.0,2.0,6.0,1.0,0.8275,0.0,0.05385164807134505
2021-08-20-12:27:38,esc10,conv6,mlp,mean,5.0,0.25,6.0,1.0,0.8275,0.0,0.03482097069296032
2021-08-20-12:30:00,esc10,conv6,mlp,mean,4.0,2.0,8.0,1.0,0.8275,0.0,0.039051248379533235
2021-08-20-14:58:55,esc10,conv5,mlp,mean,4.0,1.0,4.0,0.9978125,0.8262499999999999,0.002898005779842406,0.047003989192407926
2021-08-20-15:02:39,esc10,conv5,mlp,mean,4.0,0.5,4.0,0.9972916666666668,0.8258333333333333,0.0034610932762158732,0.034095454242464636
2021-08-20-14:59:15,esc10,conv4,mlp,mean,5.0,0.5,8.0,1.0,0.825,0.0,0.04107919181288747
2021-08-20-12:29:04,esc10,conv6,mlp,mean,5.0,0.1,8.0,1.0,0.825,0.0,0.03162277660168381
2021-08-20-12:33:54,esc10,conv6,mlp,mean,4.0,0.5,8.0,0.999375,0.825,0.0005103103630798541,0.020241596335818537
2021-08-20-12:42:21,esc10,conv6,mlp,mean,4.0,0.1,6.0,0.9741477272727274,0.8243181818181817,0.03533387462876087,0.033017964056150165
2021-08-20-14:57:16,esc10,conv4,mlp,mean,5.0,1.0,8.0,1.0,0.8225,0.0,0.033911649915626375
2021-08-20-12:49:47,esc10,conv6,mlp,mean,3.0,0.5,4.0,0.993,0.8210000000000001,0.002417384950726707,0.03730281490718899
2021-08-20-13:01:23,esc10,conv6,mlp,mean,3.0,0.1,4.0,0.9841666666666666,0.8204761904761904,0.012326459750363221,0.027255405754769882
2021-08-20-15:15:49,esc10,conv5,mlp,mean,4.0,0.1,4.0,0.9875,0.8188636363636365,0.014214769048103081,0.049541284228158664
2021-08-20-12:39:49,esc10,conv6,mlp,mean,4.0,0.1,4.0,0.9756818181818184,0.8165909090909091,0.045527143728941566,0.0632643346053513
2021-08-20-12:51:55,esc10,conv6,mlp,mean,3.0,0.5,8.0,0.99375,0.8164999999999999,0.001530931089239481,0.041158231254513324
2021-08-20-14:56:38,esc10,conv4,mlp,mean,5.0,1.0,6.0,1.0,0.8150000000000001,0.0,0.03391164991562637
2021-08-20-12:50:50,esc10,conv6,mlp,mean,3.0,0.5,6.0,0.993875,0.8135,0.0007288689868556469,0.046545676490948144
2021-08-20-14:55:58,esc10,conv4,mlp,mean,5.0,1.0,4.0,1.0,0.8125,0.0,0.02091650066335188
2021-08-20-15:02:18,esc10,conv4,mlp,mean,5.0,0.1,4.0,0.99875,0.8099999999999999,0.0024999999999999914,0.02150581316760656
2021-08-20-13:08:42,esc10,conv6,mlp,mean,3.0,0.1,8.0,0.9860714285714286,0.8092857142857144,0.007440833324762319,0.0337171777075478
2021-08-20-13:05:01,esc10,conv6,mlp,mean,3.0,0.1,6.0,0.9891369047619047,0.8088095238095239,0.004437419157067557,0.02811994474598067
2021-08-20-12:45:28,esc10,conv6,mlp,mean,3.0,2.0,4.0,0.988125,0.8087500000000001,0.0030618621784789684,0.052081666639999136
2021-08-20-12:53:48,esc10,conv6,mlp,mean,3.0,0.25,4.0,0.96875,0.8086111111111111,0.03304344432656744,0.024491747161285684
2021-08-20-12:48:00,esc10,conv6,mlp,mean,3.0,1.0,6.0,0.9916666666666666,0.8083333333333332,0.000931694990624909,0.04048319267163708
2021-08-20-14:53:43,esc10,conv4,mlp,mean,5.0,2.0,4.0,1.0,0.8075000000000001,0.0,0.023184046238739254
2021-08-20-15:33:47,esc10,conv7,mlp,mean,5.0,1.0,8.0,1.0,0.8074999999999999,0.0,0.020310096011589895
2021-08-20-15:26:04,esc10,conv4,mlp,mean,4.0,0.1,8.0,0.9942613636363636,0.8065909090909091,0.0032807272802845605,0.02554569718422456
2021-08-20-14:57:55,esc10,conv4,mlp,mean,5.0,0.5,4.0,1.0,0.8049999999999999,0.0,0.02573907535246751
2021-08-20-12:47:16,esc10,conv6,mlp,mean,3.0,1.0,4.0,0.9920833333333334,0.8041666666666666,0.0012500000000000102,0.04141591213263058
2021-08-20-12:48:43,esc10,conv6,mlp,mean,3.0,1.0,8.0,0.9920833333333332,0.8041666666666666,0.0016925080009658243,0.03603624718406609
2021-08-20-12:46:31,esc10,conv6,mlp,mean,3.0,2.0,8.0,0.986875,0.80375,0.004800716092417863,0.033911649915626334
2021-08-20-15:04:26,esc10,conv4,mlp,mean,4.0,2.0,4.0,1.0,0.7999999999999999,0.0,0.03535533905932736
2021-08-20-15:00:03,esc10,conv4,mlp,mean,5.0,0.25,4.0,0.99625,0.7975000000000001,0.007500000000000019,0.021505813167606573
2021-08-20-15:08:23,esc10,conv4,mlp,mean,4.0,1.0,8.0,0.9984375,0.7975,0.0009882117688026326,0.031024184114977142
2021-08-20-15:09:50,esc10,conv4,mlp,mean,4.0,0.5,4.0,0.9947916666666666,0.7966666666666666,0.0062846263037493215,0.026666666666666655
2021-08-20-12:57:34,esc10,conv6,mlp,mean,3.0,0.25,8.0,0.98375,0.7955555555555556,0.013129224775662748,0.028142055870919874
2021-08-20-15:32:46,esc10,pool2,mlp,mean,5.0,1.0,8.0,1.0,0.795,0.0,0.05279678020485718
2021-08-20-15:04:59,esc10,conv4,mlp,mean,4.0,2.0,6.0,1.0,0.795,0.0,0.03499999999999999
2021-08-20-15:16:31,esc10,conv4,mlp,mean,4.0,0.25,6.0,0.995875,0.794,0.0034369317712168853,0.04036087214122112
2021-08-20-12:46:01,esc10,conv6,mlp,mean,3.0,2.0,6.0,0.98625,0.7925000000000001,0.003029799910885217,0.03386554296036018
2021-08-20-15:14:05,esc10,conv4,mlp,mean,4.0,0.25,4.0,0.996875,0.7925,0.002822897447659082,0.03917907604831945
2021-08-20-15:18:26,esc10,conv4,mlp,mean,4.0,0.25,8.0,0.998125,0.7924999999999999,0.001425219281373931,0.034856850115866755
2021-08-20-15:21:50,esc10,conv4,mlp,mean,4.0,0.1,4.0,0.9630113636363636,0.7922727272727272,0.034428911518476844,0.03629539050486753
2021-08-20-15:06:34,esc10,conv4,mlp,mean,4.0,1.0,4.0,0.9984375,0.79125,0.0009882117688026326,0.03720719016534304
2021-08-20-15:12:17,esc10,conv4,mlp,mean,4.0,0.5,8.0,0.9970833333333332,0.7899999999999999,0.0038074306005201975,0.032871804872193384
2021-08-20-15:05:42,esc10,conv4,mlp,mean,4.0,2.0,8.0,0.998125,0.7875,0.0037500000000000094,0.03872983346207416
2021-08-20-15:10:58,esc10,conv4,mlp,mean,4.0,0.5,6.0,0.9985416666666668,0.7858333333333334,0.0010622957319985015,0.0348209706929603
2021-08-20-15:07:31,esc10,conv4,mlp,mean,4.0,1.0,6.0,0.995,0.7825000000000001,0.0069456596159040325,0.030973779233409673
2021-08-20-15:23:55,esc10,conv4,mlp,mean,4.0,0.1,6.0,0.9897727272727274,0.7793181818181819,0.008659881257178384,0.036016811960550496
2021-08-20-13:25:00,esc10,conv6,mlp,mean,2.0,0.1,4.0,0.9660887096774192,0.7708064516129032,0.004646116753213922,0.023301567743678
2021-08-20-13:14:30,esc10,conv6,mlp,mean,2.0,0.5,6.0,0.9726785714285716,0.770357142857143,0.0018385053823190968,0.016350747346085118
2021-08-20-15:30:40,esc10,conv4,mlp,mean,3.0,0.5,4.0,0.98825,0.7695000000000001,0.004895789006891536,0.03276430985081174
2021-08-20-15:33:06,esc10,conv3,mlp,mean,5.0,1.0,8.0,0.99,0.7675,0.006059599821770411,0.031224989991992008
2021-08-20-13:33:31,esc10,conv6,mlp,mean,2.0,0.1,8.0,0.971391129032258,0.7649193548387097,0.005006905351279407,0.02642036903799904
2021-08-20-12:55:43,esc10,conv6,mlp,mean,3.0,0.25,6.0,0.9231944444444444,0.7644444444444445,0.03891207146317906,0.0606968280742215
2021-08-20-15:29:41,esc10,conv4,mlp,mean,3.0,1.0,8.0,0.9866666666666668,0.7641666666666667,0.00231990181784585,0.04036293679437445
2021-08-20-13:29:18,esc10,conv6,mlp,mean,2.0,0.1,6.0,0.965625,0.7606451612903226,0.00864211775386057,0.012590980039531432
2021-08-20-13:09:56,esc10,conv6,mlp,mean,2.0,2.0,8.0,0.9818750000000002,0.76,0.002538762001448721,0.019999999999999976
